,date,baseline_full,event_full,baseline_window,event_window,baseline_peak_demand,event_peak_demand,baseline_cost,event_cost,event_peak_temp,baseline_peak_temp,savings,window_energy_savings
0,2018-06-12,101360.0,107200.0,39720.0,32480.0,15200.0,11360.0,44.273336,42.472678,75.37505000000003,78.16010000000004,1.8006579999999985,7240.0
1,2018-06-13,101360.0,102840.0,39720.0,35760.0,15200.0,15680.0,44.273336,43.718368,74.73470000000006,78.16010000000004,0.5549680000000023,3960.0
2,2018-07-10,101360.0,104800.0,39720.0,34440.0,15200.0,16320.0,44.273336,44.03121,76.32882500000005,78.16010000000004,0.24212599999999895,5280.0
3,2018-07-16,101360.0,70640.0,39720.0,17280.0,15200.0,6080.0,44.273336,25.049276,66.84530000000001,78.16010000000004,19.22406,22440.0
4,2018-07-17,101360.0,78080.0,39720.0,20880.0,15200.0,4960.0,44.273336,28.662868000000003,68.15255000000002,78.16010000000004,15.610467999999997,18840.0
5,2018-07-19,101360.0,76280.0,39720.0,21840.0,15200.0,6240.0,44.273336,28.973994000000005,68.27000000000001,78.16010000000004,15.299341999999996,17880.0
6,2018-07-24,101360.0,72480.0,39720.0,19400.0,15200.0,4960.0,44.273336,26.754134,69.66500000000005,78.16010000000004,17.519202,20320.0
7,2018-07-25,101360.0,68160.0,39720.0,19680.0,15200.0,4480.0,44.273336,25.75242,71.48480000000004,78.16010000000004,18.520916,20040.0
8,2018-07-27,101360.0,63880.0,39720.0,17520.0,15200.0,4320.0,44.273336,23.966563999999998,64.54535000000003,78.16010000000004,20.306772000000002,22200.0
