datetime,power
2018-01-01 00:00:00,2263.54609929078
2018-01-01 00:15:00,2154.244604316547
2018-01-01 00:30:00,2535.7837837837837
2018-01-01 00:45:00,2492.112676056338
2018-01-01 01:00:00,2426.086956521739
2018-01-01 01:15:00,2432.8571428571427
2018-01-01 01:30:00,2491.027027027027
2018-01-01 01:45:00,2472.695652173913
2018-01-01 02:00:00,2633.8709677419356
2018-01-01 02:15:00,2532.3741007194244
2018-01-01 02:30:00,2486.120218579235
2018-01-01 02:45:00,2563.165467625899
2018-01-01 03:00:00,2521.714285714286
2018-01-01 03:15:00,2564.9197860962568
2018-01-01 03:30:00,2554.5714285714284
2018-01-01 03:45:00,2432.8275862068967
2018-01-01 04:00:00,2630.0
2018-01-01 04:15:00,2538.4924623115576
2018-01-01 04:30:00,2546.4900662251657
2018-01-01 04:45:00,2519.4666666666667
2018-01-01 05:00:00,2669.4594594594596
2018-01-01 05:15:00,2619.8984771573605
2018-01-01 05:30:00,2587.482993197279
2018-01-01 05:45:00,2601.0810810810813
2018-01-01 06:00:00,2497.227722772277
2018-01-01 06:15:00,2640.8
2018-01-01 06:30:00,2538.108108108108
2018-01-01 06:45:00,2546.7567567567567
2018-01-01 07:00:00,2533.7373737373737
2018-01-01 07:15:00,2607.123287671233
2018-01-01 07:30:00,2534.6938775510203
2018-01-01 07:45:00,2443.6923076923076
2018-01-01 08:00:00,2180.5714285714284
2018-01-01 08:15:00,2393.714285714286
2018-01-01 08:30:00,2326.478873239437
2018-01-01 08:45:00,2227.3015873015875
2018-01-01 09:00:00,2234.5323741007196
2018-01-01 09:15:00,2203.916083916084
2018-01-01 09:30:00,2249.7841726618703
2018-01-01 09:45:00,2215.483870967742
2018-01-01 10:00:00,2219.10447761194
2018-01-01 10:15:00,2200.2877697841727
2018-01-01 10:30:00,2241.311475409836
2018-01-01 10:45:00,2193.758865248227
2018-01-01 11:00:00,2306.376811594203
2018-01-01 11:15:00,2257.5886524822695
2018-01-01 11:30:00,2320.6451612903224
2018-01-01 11:45:00,2224.788732394366
2018-01-01 12:00:00,2228.6131386861316
2018-01-01 12:15:00,2181.714285714286
2018-01-01 12:30:00,2187.675675675676
2018-01-01 12:45:00,2174.306569343066
2018-01-01 13:00:00,2177.68115942029
2018-01-01 13:15:00,2290.4918032786886
2018-01-01 13:30:00,2319.7122302158273
2018-01-01 13:45:00,2237.1631205673757
2018-01-01 14:00:00,2253.426573426573
2018-01-01 14:15:00,2231.135135135135
2018-01-01 14:30:00,2341.276595744681
2018-01-01 14:45:00,2394.6099290780144
2018-01-01 15:00:00,2306.099290780142
2018-01-01 15:15:00,2244.0860215053763
2018-01-01 15:30:00,2199.1304347826085
2018-01-01 15:45:00,2243.1428571428573
2018-01-01 16:00:00,2187.659574468085
2018-01-01 16:15:00,2195.3623188405795
2018-01-01 16:30:00,2209.9290780141846
2018-01-01 16:45:00,2142.0
2018-01-01 17:00:00,2148.8770053475937
2018-01-01 17:15:00,2130.7042253521126
2018-01-01 17:30:00,2250.1408450704225
2018-01-01 17:45:00,2227.9411764705883
2018-01-01 18:00:00,2233.978494623656
2018-01-01 18:15:00,2153.239436619718
2018-01-01 18:30:00,2230.2158273381297
2018-01-01 18:45:00,2155.2432432432433
2018-01-01 19:00:00,2361.212121212121
2018-01-01 19:15:00,2142.5352112676055
2018-01-01 19:30:00,2141.3138686131388
2018-01-01 19:45:00,2192.768361581921
2018-01-01 20:00:00,2174.736842105264
2018-01-01 20:15:00,2267.4125874125875
2018-01-01 20:30:00,2240.294117647059
2018-01-01 20:45:00,2872.087912087912
2018-01-01 21:00:00,3081.167883211679
2018-01-01 21:15:00,2603.165467625899
2018-01-01 21:30:00,2640.864864864865
2018-01-01 21:45:00,2668.6524822695037
2018-01-01 22:00:00,3728.985507246377
2018-01-01 22:15:00,3088.5106382978724
2018-01-01 22:30:00,2957.837837837838
2018-01-01 22:45:00,2923.1428571428573
2018-01-01 23:00:00,3039.1304347826085
2018-01-01 23:15:00,3301.189189189189
2018-01-01 23:30:00,3095.6028368794327
2018-01-01 23:45:00,3158.2978723404253
2018-01-02 00:00:00,3422.189781021898
2018-01-02 00:15:00,2928.5106382978724
2018-01-02 00:30:00,3163.5036496350367
2018-01-02 00:45:00,3870.5714285714284
2018-01-02 01:00:00,3756.285714285714
2018-01-02 01:15:00,3788.2872928176794
2018-01-02 01:30:00,3515.072463768116
2018-01-02 01:45:00,3359.083969465649
2018-01-02 02:00:00,3394.162162162162
2018-01-02 02:15:00,3656.45390070922
2018-01-02 02:30:00,3304.057971014493
2018-01-02 02:45:00,3056.0
2018-01-02 03:00:00,2870.217391304348
2018-01-02 03:15:00,2992.992700729927
2018-01-02 03:30:00,2425.6338028169016
2018-01-02 03:45:00,2364.4755244755243
2018-01-02 04:00:00,2212.6
2018-01-02 04:15:00,2293.877551020408
2018-01-02 04:30:00,2343.841059602649
2018-01-02 04:45:00,2295.2763819095476
2018-01-02 05:00:00,2241.866666666667
2018-01-02 05:15:00,2362.6490066225165
2018-01-02 05:30:00,2248.9189189189187
2018-01-02 05:45:00,2327.070707070707
2018-01-02 06:00:00,2281.08843537415
2018-01-02 06:15:00,2347.9194630872485
2018-01-02 06:30:00,2374.9659863945576
2018-01-02 06:45:00,2469.948717948718
2018-01-02 07:00:00,2360.536912751678
2018-01-02 07:15:00,2250.0
2018-01-02 07:30:00,2303.5175879396984
2018-01-02 07:45:00,2347.6510067114095
2018-01-02 08:00:00,1963.943661971831
2018-01-02 08:15:00,1976.1151079136691
